flo2d_250_station_id,ob_1_id,ob_2_id,ob_3_id,ob_4_id,ob_5_id,ob_6_id,ob_7_id,ob_8_id,ob_9_id,ob_10_id
122,100061,100038,100056,100043,100057,100064,100075,100059,100042,100045
123,100061,100038,100056,100043,100057,100064,100075,100059,100042,100045
124,100061,100038,100056,100043,100057,100064,100075,100059,100042,100045
125,100061,100038,100056,100043,100057,100064,100059,100075,100042,100045
126,100061,100038,100056,100043,100057,100064,100059,100075,100042,100045
127,100064,100075,100043,100038,100056,100061,100042,100057,100059,100045
128,100064,100075,100043,100038,100056,100061,100042,100057,100059,100045
129,100064,100075,100043,100038,100056,100061,100057,100042,100059,100045
130,100064,100075,100043,100038,100056,100061,100057,100042,100059,100045
131,100064,100075,100043,100038,100056,100061,100057,100042,100059,100045
132,100064,100075,100043,100038,100056,100061,100057,100042,100059,100045
133,100064,100075,100043,100038,100056,100061,100057,100042,100059,100045
134,100064,100075,100043,100038,100056,100061,100057,100042,100059,100045
135,100064,100075,100038,100043,100061,100056,100057,100042,100059,100045
136,100064,100075,100038,100043,100061,100056,100057,100059,100042,100045
137,100064,100075,100038,100043,100061,100056,100057,100059,100042,100045
138,100064,100075,100038,100043,100061,100056,100057,100059,100042,100045
139,100064,100075,100038,100043,100061,100056,100057,100059,100042,100045
140,100064,100075,100038,100043,100061,100056,100057,100059,100042,100045
141,100064,100038,100075,100043,100061,100056,100057,100059,100042,100045
142,100064,100038,100075,100043,100061,100056,100057,100059,100042,100045
143,100038,100064,100061,100075,100043,100056,100057,100059,100042,100045
144,100038,100064,100061,100043,100075,100056,100057,100059,100042,100045
145,100038,100064,100061,100043,100056,100075,100057,100059,100042,100045
146,100038,100061,100064,100043,100056,100075,100057,100059,100042,100045
147,100038,100061,100064,100043,100056,100075,100057,100059,100042,100045
148,100038,100061,100064,100043,100056,100075,100057,100059,100042,100045
149,100038,100061,100064,100056,100043,100075,100057,100059,100042,100045
150,100038,100061,100056,100043,100064,100075,100057,100059,100042,100045
151,100038,100061,100056,100043,100064,100075,100057,100059,100042,100045
152,100038,100061,100056,100043,100064,100075,100057,100059,100042,100045
153,100038,100061,100056,100043,100064,100075,100057,100059,100042,100045
154,100038,100061,100056,100043,100064,100057,100075,100059,100042,100045
155,100038,100061,100056,100043,100064,100057,100075,100059,100042,100045
156,100038,100061,100056,100043,100064,100057,100075,100059,100042,100045
