id,stationId,name,control,status,longitude,latitude,resolution,description
1100134,wrf0_80.637856_6.616318,wrf0_80.637856_6.616318,virtual,n/a,80.6379,6.61632,0,WRF point
1100135,wrf0_80.665085_6.616318,wrf0_80.665085_6.616318,virtual,n/a,80.6651,6.61632,0,WRF point
1100136,wrf0_80.692314_6.616318,wrf0_80.692314_6.616318,virtual,n/a,80.6923,6.61632,0,WRF point
1100137,wrf0_80.719543_6.616318,wrf0_80.719543_6.616318,virtual,n/a,80.7195,6.61632,0,WRF point
1100138,wrf0_80.746773_6.616318,wrf0_80.746773_6.616318,virtual,n/a,80.7468,6.61632,0,WRF point
1100139,wrf0_80.774002_6.616318,wrf0_80.774002_6.616318,virtual,n/a,80.774,6.61632,0,WRF point
1100140,wrf0_79.848206_6.643364,wrf0_79.848206_6.643364,virtual,n/a,79.8482,6.64336,0,WRF point
1100141,wrf0_79.875435_6.643364,wrf0_79.875435_6.643364,virtual,n/a,79.8754,6.64336,0,WRF point
1100142,wrf0_79.902664_6.643364,wrf0_79.902664_6.643364,virtual,n/a,79.9027,6.64336,0,WRF point
1100143,wrf0_79.929893_6.643364,wrf0_79.929893_6.643364,virtual,n/a,79.9299,6.64336,0,WRF point
1100144,wrf0_79.957123_6.643364,wrf0_79.957123_6.643364,virtual,n/a,79.9571,6.64336,0,WRF point
1100145,wrf0_79.984352_6.643364,wrf0_79.984352_6.643364,virtual,n/a,79.9844,6.64336,0,WRF point
1100146,wrf0_80.011581_6.643364,wrf0_80.011581_6.643364,virtual,n/a,80.0116,6.64336,0,WRF point
1100147,wrf0_80.038811_6.643364,wrf0_80.038811_6.643364,virtual,n/a,80.0388,6.64336,0,WRF point
1100148,wrf0_80.066040_6.643364,wrf0_80.066040_6.643364,virtual,n/a,80.066,6.64336,0,WRF point
1100149,wrf0_80.093269_6.643364,wrf0_80.093269_6.643364,virtual,n/a,80.0933,6.64336,0,WRF point
1100150,wrf0_80.120499_6.643364,wrf0_80.120499_6.643364,virtual,n/a,80.1205,6.64336,0,WRF point
1100151,wrf0_80.147728_6.643364,wrf0_80.147728_6.643364,virtual,n/a,80.1477,6.64336,0,WRF point
1100152,wrf0_80.174957_6.643364,wrf0_80.174957_6.643364,virtual,n/a,80.175,6.64336,0,WRF point
1100153,wrf0_80.202187_6.643364,wrf0_80.202187_6.643364,virtual,n/a,80.2022,6.64336,0,WRF point
1100154,wrf0_80.229416_6.643364,wrf0_80.229416_6.643364,virtual,n/a,80.2294,6.64336,0,WRF point
1100155,wrf0_80.256645_6.643364,wrf0_80.256645_6.643364,virtual,n/a,80.2566,6.64336,0,WRF point
1100156,wrf0_80.283875_6.643364,wrf0_80.283875_6.643364,virtual,n/a,80.2839,6.64336,0,WRF point
1100157,wrf0_80.311104_6.643364,wrf0_80.311104_6.643364,virtual,n/a,80.3111,6.64336,0,WRF point
1100158,wrf0_80.338333_6.643364,wrf0_80.338333_6.643364,virtual,n/a,80.3383,6.64336,0,WRF point
1100159,wrf0_80.365562_6.643364,wrf0_80.365562_6.643364,virtual,n/a,80.3656,6.64336,0,WRF point
1100160,wrf0_80.392792_6.643364,wrf0_80.392792_6.643364,virtual,n/a,80.3928,6.64336,0,WRF point
1100161,wrf0_80.420021_6.643364,wrf0_80.420021_6.643364,virtual,n/a,80.42,6.64336,0,WRF point
1100162,wrf0_80.447250_6.643364,wrf0_80.447250_6.643364,virtual,n/a,80.4473,6.64336,0,WRF point
1100163,wrf0_80.474480_6.643364,wrf0_80.474480_6.643364,virtual,n/a,80.4745,6.64336,0,WRF point
1100164,wrf0_80.501709_6.643364,wrf0_80.501709_6.643364,virtual,n/a,80.5017,6.64336,0,WRF point
1100165,wrf0_80.528938_6.643364,wrf0_80.528938_6.643364,virtual,n/a,80.5289,6.64336,0,WRF point
1100166,wrf0_80.556168_6.643364,wrf0_80.556168_6.643364,virtual,n/a,80.5562,6.64336,0,WRF point
1100167,wrf0_80.583397_6.643364,wrf0_80.583397_6.643364,virtual,n/a,80.5834,6.64336,0,WRF point
1100168,wrf0_80.610626_6.643364,wrf0_80.610626_6.643364,virtual,n/a,80.6106,6.64336,0,WRF point
1100169,wrf0_80.637856_6.643364,wrf0_80.637856_6.643364,virtual,n/a,80.6379,6.64336,0,WRF point
1100170,wrf0_80.665085_6.643364,wrf0_80.665085_6.643364,virtual,n/a,80.6651,6.64336,0,WRF point
1100171,wrf0_80.692314_6.643364,wrf0_80.692314_6.643364,virtual,n/a,80.6923,6.64336,0,WRF point
1100172,wrf0_80.719543_6.643364,wrf0_80.719543_6.643364,virtual,n/a,80.7195,6.64336,0,WRF point
1100173,wrf0_80.746773_6.643364,wrf0_80.746773_6.643364,virtual,n/a,80.7468,6.64336,0,WRF point
1100174,wrf0_80.774002_6.643364,wrf0_80.774002_6.643364,virtual,n/a,80.774,6.64336,0,WRF point
1100175,wrf0_79.848206_6.670418,wrf0_79.848206_6.670418,virtual,n/a,79.8482,6.67042,0,WRF point
1100176,wrf0_79.875435_6.670418,wrf0_79.875435_6.670418,virtual,n/a,79.8754,6.67042,0,WRF point
1100177,wrf0_79.902664_6.670418,wrf0_79.902664_6.670418,virtual,n/a,79.9027,6.67042,0,WRF point
1100178,wrf0_79.929893_6.670418,wrf0_79.929893_6.670418,virtual,n/a,79.9299,6.67042,0,WRF point
1100179,wrf0_79.957123_6.670418,wrf0_79.957123_6.670418,virtual,n/a,79.9571,6.67042,0,WRF point
