id,latitude,longitude
1100012,80.175,6.53517
1100047,80.175,6.56223
1100082,80.175,6.58927
1100117,80.175,6.61632
1100152,80.175,6.64336
1100187,80.175,6.67042
1100222,80.175,6.69746
1100257,80.175,6.72449
1100292,80.175,6.75154
1100327,80.175,6.77859
1100362,80.175,6.80562
1100397,80.175,6.83266
1100432,80.175,6.85969
1100467,80.175,6.88672
1100502,80.175,6.91376
1100537,80.175,6.94079
1100572,80.175,6.96781
1100607,80.175,6.99484
1100642,80.175,7.02187
1100677,80.175,7.0489
1100712,80.175,7.07591
1100747,80.175,7.10294
1100782,80.175,7.12996
1100817,80.175,7.15697
1100852,80.175,7.184
1100887,80.175,7.21101
1100922,80.175,7.23801
1100013,80.2022,6.53517
1100048,80.2022,6.56223
1100083,80.2022,6.58927
1100118,80.2022,6.61632
1100153,80.2022,6.64336
1100188,80.2022,6.67042
1100223,80.2022,6.69746
1100258,80.2022,6.72449
1100293,80.2022,6.75154
1100328,80.2022,6.77859
1100363,80.2022,6.80562
1100398,80.2022,6.83266
1100433,80.2022,6.85969
1100468,80.2022,6.88672
1100503,80.2022,6.91376
1100538,80.2022,6.94079
1100573,80.2022,6.96781
1100608,80.2022,6.99484
1100643,80.2022,7.02187
1100678,80.2022,7.0489
1100713,80.2022,7.07591
1100748,80.2022,7.10294
1100783,80.2022,7.12996
1100818,80.2022,7.15697
1100853,80.2022,7.184
1100888,80.2022,7.21101
1100923,80.2022,7.23801
1100014,80.2294,6.53517
1100049,80.2294,6.56223
1100084,80.2294,6.58927
1100119,80.2294,6.61632
1100154,80.2294,6.64336
1100189,80.2294,6.67042
1100224,80.2294,6.69746
1100259,80.2294,6.72449
1100294,80.2294,6.75154
1100329,80.2294,6.77859
1100364,80.2294,6.80562
1100399,80.2294,6.83266
1100434,80.2294,6.85969
1100469,80.2294,6.88672
1100504,80.2294,6.91376
1100539,80.2294,6.94079
1100574,80.2294,6.96781
1100609,80.2294,6.99484
1100644,80.2294,7.02187
1100679,80.2294,7.0489
1100714,80.2294,7.07591
1100749,80.2294,7.10294
1100784,80.2294,7.12996
1100819,80.2294,7.15697
1100854,80.2294,7.184
1100889,80.2294,7.21101
1100924,80.2294,7.23801
1100015,80.2566,6.53517
1100050,80.2566,6.56223
1100085,80.2566,6.58927
1100120,80.2566,6.61632
1100155,80.2566,6.64336
1100190,80.2566,6.67042
1100225,80.2566,6.69746
1100260,80.2566,6.72449
1100295,80.2566,6.75154
1100330,80.2566,6.77859
1100365,80.2566,6.80562
1100400,80.2566,6.83266
1100435,80.2566,6.85969
1100470,80.2566,6.88672
1100505,80.2566,6.91376
1100540,80.2566,6.94079
1100575,80.2566,6.96781
1100610,80.2566,6.99484
1100645,80.2566,7.02187
1100680,80.2566,7.0489
1100715,80.2566,7.07591
1100750,80.2566,7.10294
1100785,80.2566,7.12996
1100820,80.2566,7.15697
1100855,80.2566,7.184
1100890,80.2566,7.21101
1100925,80.2566,7.23801
1100016,80.2839,6.53517
1100051,80.2839,6.56223
1100086,80.2839,6.58927
1100121,80.2839,6.61632
1100156,80.2839,6.64336
1100191,80.2839,6.67042
1100226,80.2839,6.69746
1100261,80.2839,6.72449
1100296,80.2839,6.75154
1100331,80.2839,6.77859
1100366,80.2839,6.80562
1100401,80.2839,6.83266
1100436,80.2839,6.85969
1100471,80.2839,6.88672
1100506,80.2839,6.91376
1100541,80.2839,6.94079
1100576,80.2839,6.96781
1100611,80.2839,6.99484
1100646,80.2839,7.02187
1100681,80.2839,7.0489
1100716,80.2839,7.07591
1100751,80.2839,7.10294
1100786,80.2839,7.12996
1100821,80.2839,7.15697
1100856,80.2839,7.184
1100891,80.2839,7.21101
