1.5          0.0           0.000
N            3803           0.040             150             414
N            3804           0.040             150             415
N            3805           0.040          181.07             416
N            3966           0.040          181.07             417
N            4136           0.040          181.07             418
N            4311           0.040          181.07             419
N            4312           0.040             150             420
N            4138           0.040             150             421
N            3968           0.040             150             422
N            3808           0.040             150             423
N            3651           0.040             150             424
N            3495           0.040          181.07             425
N            3341           0.040          181.07             426
N            3195           0.040             150             427
N            3051           0.040             150             428
N            2908           0.040             150             429
N            2769           0.040             150             430
N            2631           0.040             150             431
N            2501           0.040             150             432
N            2372           0.040          181.07             433
N            2245           0.040          181.07             434
N            2118           0.040             150             435
N            2119           0.040          181.07             436
N            1994           0.040          181.07             437
N            1995           0.040             150             438
N            1996           0.040          181.07             439
N            1872           0.040          212.13             440
N            1998           0.040          181.07             441
N            1999           0.040          181.07             442
N            2126           0.040          212.13             443
N            2254           0.040          212.13             444
N            2383           0.040          181.07             445
N            2384           0.040          181.07             446
N            2514           0.040          181.07             447
N            2515           0.040             150             448
N            2516           0.040             150             449
N            2517           0.040             150             450
N            2518           0.040          181.07             451
N            2390           0.040          212.13             452
N            2263           0.040          212.13             453
N            2137           0.040          181.07             454
N            2011           0.040             150             455
N            1886           0.040             150             456
N            1759           0.040             150             457
N            1633           0.040          181.07             458
N            1508           0.040          181.07             459
N            1394           0.040             150             460
N            1282           0.040             150             461
1.5          0.0           0.000
N            7806           0.040             150             513
N            7636           0.040             150             512
N            7466           0.040          181.07             511
N            7297           0.040          212.13             510
N            7126           0.040          181.07             509
N            6956           0.040          181.07             508
N            6784           0.040          181.07             507
N            6612           0.040          181.07             506
N            6434           0.040          181.07             505
N            6433           0.040             150             504
N            6255           0.040             150             503
N            6078           0.040          181.07             502
N            5901           0.040          181.07             501
N            5902           0.040          181.07             500
N            5724           0.040          181.07             499
N            5546           0.040             150             498
N            5367           0.040          181.07             497
N            5188           0.040          181.07             496
N            5009           0.040             150             495
N            4830           0.040             150             494
N            4651           0.040          181.07             493
N            4471           0.040          181.07             492
N            4470           0.040             150             491
N            4469           0.040             150             490
N            4468           0.040             150             489
N            4292           0.040             150             488
N            4118           0.040          181.07             487
N            3949           0.040          181.07             486
N            3950           0.040             150             485
N            3951           0.040             150             484
N            3952           0.040             150             483
N            3953           0.040          181.07             482
N            3794           0.040          181.07             481
N            3795           0.040             150             480
N            3796           0.040             150             479
N            3797           0.040             150             478
N            3640           0.040             150             477
N            3484           0.040             150             476
N            3331           0.040             150             475
N            3185           0.040          181.07             474
N            3042           0.040          181.07             473
N            2899           0.040             150             472
N            2900           0.040             150             471
N            2761           0.040             150             470
N            2623           0.040             150             469
N            2624           0.040             150             468
N            2625           0.040          181.07             467
N            2764           0.040          212.13             466
