id,latitude,longitude
1100100,5.750061,79.548691
1100101,5.750061,79.575920
1100102,5.750061,79.603149
1100103,5.750061,79.630379
1100104,5.750061,79.657608
1100105,5.750061,79.684837
1100106,5.750061,79.712067
1100107,5.750061,79.739296
1100108,5.750061,79.766525
1100109,5.750061,79.793747
1100110,5.750061,79.820976
1100111,5.750061,79.848206
1100112,5.750061,79.875435
1100113,5.750061,79.902664
1100114,5.750061,79.929893
1100115,5.750061,79.957123
1100116,5.750061,79.984352
1100117,5.750061,80.011581
1100118,5.750061,80.038811
1100119,5.750061,80.066040
1100120,5.750061,80.093269
1100121,5.750061,80.120499
1100122,5.750061,80.147728
1100123,5.750061,80.174957
1100124,5.750061,80.202187
1100125,5.750061,80.229416
1100126,5.750061,80.256645
1100127,5.750061,80.283875
1100128,5.750061,80.311104
1100129,5.750061,80.338333
1100130,5.750061,80.365562
1100131,5.750061,80.392792
1100132,5.750061,80.420021
1100133,5.750061,80.447250
1100134,5.750061,80.474480
1100135,5.750061,80.501709
1100136,5.750061,80.528938
1100137,5.750061,80.556168
1100138,5.750061,80.583397
1100139,5.750061,80.610626
1100140,5.750061,80.637856
1100141,5.750061,80.665085
1100142,5.750061,80.692314
1100143,5.750061,80.719543
1100144,5.750061,80.746773
1100145,5.750061,80.774002
1100146,5.750061,80.801231
1100147,5.750061,80.828461
1100148,5.750061,80.855690
1100149,5.750061,80.882919
1100150,5.750061,80.910149
1100151,5.750061,80.937378
1100152,5.750061,80.964607
1100153,5.750061,80.991837
1100154,5.750061,81.019066
1100155,5.750061,81.046295
1100156,5.750061,81.073524
1100157,5.750061,81.100754
1100158,5.750061,81.127983
1100159,5.750061,81.155212
1100160,5.750061,81.182442
1100161,5.750061,81.209671
1100162,5.750061,81.236900
1100163,5.750061,81.264130
1100164,5.750061,81.291359
1100165,5.750061,81.318588
1100166,5.750061,81.345818
1100167,5.750061,81.373047
1100168,5.750061,81.400276
1100169,5.750061,81.427505
1100170,5.750061,81.454735
1100171,5.750061,81.481964
1100172,5.750061,81.509193
1100173,5.750061,81.536423
1100174,5.750061,81.563652
1100175,5.750061,81.590881
1100176,5.750061,81.618111
1100177,5.750061,81.645340
1100178,5.750061,81.672569
1100179,5.750061,81.699799
1100180,5.750061,81.727028
1100181,5.750061,81.754257
1100182,5.750061,81.781487
1100183,5.750061,81.808716
1100184,5.750061,81.835945
1100185,5.750061,81.863174
1100186,5.750061,81.890404
1100187,5.750061,81.917633
1100188,5.750061,81.944855
1100189,5.750061,81.972084
1100190,5.750061,81.999313
1100191,5.750061,82.026543
1100192,5.750061,82.053772
1100193,5.750061,82.081001
1100194,5.750061,82.108231
1100195,5.750061,82.135460
1100196,5.750061,82.162689
1100197,5.750061,82.189919
1100198,5.777153,79.521461
1100199,5.777153,79.548691
1100200,5.777153,79.575920
1100201,5.777153,79.603149
1100202,5.777153,79.630379
1100203,5.777153,79.657608
1100204,5.777153,79.684837
1100205,5.777153,79.712067
1100206,5.777153,79.739296
1100207,5.777153,79.766525
1100208,5.777153,79.793747
1100209,5.777153,79.820976
1100210,5.777153,79.848206
1100211,5.777153,79.875435
1100212,5.777153,79.902664
1100213,5.777153,79.929893
1100214,5.777153,79.957123
1100215,5.777153,79.984352
1100216,5.777153,80.011581
1100217,5.777153,80.038811
1100218,5.777153,80.066040
1100219,5.777153,80.093269
1100220,5.777153,80.120499
1100221,5.777153,80.147728
1100222,5.777153,80.174957
1100223,5.777153,80.202187
1100224,5.777153,80.229416
1100225,5.777153,80.256645
1100226,5.777153,80.283875
1100227,5.777153,80.311104
1100228,5.777153,80.338333
1100229,5.777153,80.365562
1100230,5.777153,80.392792
1100231,5.777153,80.420021
1100232,5.777153,80.447250
1100233,5.777153,80.474480
1100234,5.777153,80.501709
1100235,5.777153,80.528938
1100236,5.777153,80.556168
