id,longitude,latitude
1103066,80.42,6.69746
1103067,80.4473,6.69746
1103068,80.4745,6.69746
1103069,80.5017,6.69746
1103070,80.5289,6.69746
1103071,80.5562,6.69746
1103072,80.5834,6.69746
1103073,80.6106,6.69746
1103074,80.6379,6.69746
1103075,80.6651,6.69746
1103076,80.6923,6.69746
1103077,80.7195,6.69746
1103078,80.7468,6.69746
1103079,80.774,6.69746
1103080,79.8482,6.72449
1103081,79.8754,6.72449
1103082,79.9027,6.72449
1103083,79.9299,6.72449
1103084,79.9571,6.72449
1103085,79.9844,6.72449
1103086,80.0116,6.72449
1103087,80.0388,6.72449
1103088,80.066,6.72449
1103089,80.0933,6.72449
1103090,80.1205,6.72449
1103091,80.1477,6.72449
1103092,80.175,6.72449
1103093,80.2022,6.72449
1103094,80.2294,6.72449
1103095,80.2566,6.72449
1103096,80.2839,6.72449
1103097,80.3111,6.72449
1103098,80.3383,6.72449
1103099,80.3656,6.72449
1103100,80.3928,6.72449
1103101,80.42,6.72449
1103102,80.4473,6.72449
1103103,80.4745,6.72449
1103104,80.5017,6.72449
1103105,80.5289,6.72449
1103106,80.5562,6.72449
1103107,80.5834,6.72449
1103108,80.6106,6.72449
1103109,80.6379,6.72449
1103110,80.6651,6.72449
1103111,80.6923,6.72449
1103112,80.7195,6.72449
1103113,80.7468,6.72449
1103114,80.774,6.72449
1103115,79.8482,6.75154
1103116,79.8754,6.75154
1103117,79.9027,6.75154
1103118,79.9299,6.75154
1103119,79.9571,6.75154
1103120,79.9844,6.75154
1103121,80.0116,6.75154
1103122,80.0388,6.75154
1103123,80.066,6.75154
1103124,80.0933,6.75154
1103125,80.1205,6.75154
1103126,80.1477,6.75154
1103127,80.175,6.75154
1103128,80.2022,6.75154
1103129,80.2294,6.75154
1103130,80.2566,6.75154
1103131,80.2839,6.75154
1103132,80.3111,6.75154
1103133,80.3383,6.75154
1103134,80.3656,6.75154
1103135,80.3928,6.75154
1103136,80.42,6.75154
1103137,80.4473,6.75154
1103138,80.4745,6.75154
1103139,80.5017,6.75154
1103140,80.5289,6.75154
1103141,80.5562,6.75154
1103142,80.5834,6.75154
1103143,80.6106,6.75154
1103144,80.6379,6.75154
1103145,80.6651,6.75154
1103146,80.6923,6.75154
1103147,80.7195,6.75154
1103148,80.7468,6.75154
1103149,80.774,6.75154
1103150,79.8482,6.77859
1103151,79.8754,6.77859
1103152,79.9027,6.77859
1103153,79.9299,6.77859
1103154,79.9571,6.77859
1103155,79.9844,6.77859
1103156,80.0116,6.77859
1103157,80.0388,6.77859
1103158,80.066,6.77859
1103159,80.0933,6.77859
1103160,80.1205,6.77859
1103161,80.1477,6.77859
1103162,80.175,6.77859
1103163,80.2022,6.77859
1103164,80.2294,6.77859
1103165,80.2566,6.77859
1103166,80.2839,6.77859
1103167,80.3111,6.77859
1103168,80.3383,6.77859
1103169,80.3656,6.77859
1103170,80.3928,6.77859
1103171,80.42,6.77859
1103172,80.4473,6.77859
1103173,80.4745,6.77859
1103174,80.5017,6.77859
1103175,80.5289,6.77859
1103176,80.5562,6.77859
1103177,80.5834,6.77859
1103178,80.6106,6.77859
1103179,80.6379,6.77859
1103180,80.6651,6.77859
1103181,80.6923,6.77859
1103182,80.7195,6.77859
1103183,80.7468,6.77859
1103184,80.774,6.77859
1103185,79.8482,6.80562
1103186,79.8754,6.80562
1103187,79.9027,6.80562
1103188,79.9299,6.80562
1103189,79.9571,6.80562
1103190,79.9844,6.80562
1103191,80.0116,6.80562
1103192,80.0388,6.80562
1103193,80.066,6.80562
1103194,80.0933,6.80562
1103195,80.1205,6.80562
1103196,80.1477,6.80562
1103197,80.175,6.80562
1103198,80.2022,6.80562
1103199,80.2294,6.80562
1103200,80.2566,6.80562
1103201,80.2839,6.80562
1103202,80.3111,6.80562
1103203,80.3383,6.80562
1103204,80.3656,6.80562
1103205,80.3928,6.80562
1103206,80.42,6.80562
1103207,80.4473,6.80562
1103208,80.4745,6.80562
1103209,80.5017,6.80562
1103210,80.5289,6.80562
1103211,80.5562,6.80562
1103212,80.5834,6.80562
1103213,80.6106,6.80562
1103214,80.6379,6.80562
1103215,80.6651,6.80562
1103216,80.6923,6.80562
1103217,80.7195,6.80562
1103218,80.7468,6.80562
1103219,80.774,6.80562
1103220,79.8482,6.83266
1103221,79.8754,6.83266
1103222,79.9027,6.83266
1103223,79.9299,6.83266
1103224,79.9571,6.83266
1103225,79.9844,6.83266
1103226,80.0116,6.83266
1103227,80.0388,6.83266
1103228,80.066,6.83266
1103229,80.0933,6.83266
1103230,80.1205,6.83266
1103231,80.1477,6.83266
1103232,80.175,6.83266
1103233,80.2022,6.83266
1103234,80.2294,6.83266
1103235,80.2566,6.83266
1103236,80.2839,6.83266
1103237,80.3111,6.83266
1103238,80.3383,6.83266
1103239,80.3656,6.83266
1103240,80.3928,6.83266
1103241,80.42,6.83266
1103242,80.4473,6.83266
1103243,80.4745,6.83266
1103244,80.5017,6.83266
1103245,80.5289,6.83266
1103246,80.5562,6.83266
1103247,80.5834,6.83266
1103248,80.6106,6.83266
1103249,80.6379,6.83266
1103250,80.6651,6.83266
1103251,80.6923,6.83266
1103252,80.7195,6.83266
1103253,80.7468,6.83266
1103254,80.774,6.83266
1103255,79.8482,6.85969
1103256,79.8754,6.85969
1103257,79.9027,6.85969
1103258,79.9299,6.85969
1103259,79.9571,6.85969
1103260,79.9844,6.85969
1103261,80.0116,6.85969
1103262,80.0388,6.85969
1103263,80.066,6.85969
1103264,80.0933,6.85969
1103265,80.1205,6.85969
1103266,80.1477,6.85969
1103267,80.175,6.85969
1103268,80.2022,6.85969
1103269,80.2294,6.85969
1103270,80.2566,6.85969
1103271,80.2839,6.85969
1103272,80.3111,6.85969
1103273,80.3383,6.85969
1103274,80.3656,6.85969
1103275,80.3928,6.85969
1103276,80.42,6.85969
1103277,80.4473,6.85969
1103278,80.4745,6.85969
1103279,80.5017,6.85969
1103280,80.5289,6.85969
1103281,80.5562,6.85969
1103282,80.5834,6.85969
1103283,80.6106,6.85969
1103284,80.6379,6.85969
1103285,80.6651,6.85969
1103286,80.6923,6.85969
1103287,80.7195,6.85969
1103288,80.7468,6.85969
1103289,80.774,6.85969
1103290,79.8482,6.88672
1103291,79.8754,6.88672
1103292,79.9027,6.88672
1103293,79.9299,6.88672
1103294,79.9571,6.88672
1103295,79.9844,6.88672
1103296,80.0116,6.88672
1103297,80.0388,6.88672
1103298,80.066,6.88672
1103299,80.0933,6.88672
1103300,80.1205,6.88672
1103301,80.1477,6.88672
1103302,80.175,6.88672
1103303,80.2022,6.88672
1103304,80.2294,6.88672
1103305,80.2566,6.88672
1103306,80.2839,6.88672
1103307,80.3111,6.88672
1103308,80.3383,6.88672
1103309,80.3656,6.88672
1103310,80.3928,6.88672
1103311,80.42,6.88672
1103312,80.4473,6.88672
1103313,80.4745,6.88672
1103314,80.5017,6.88672
1103315,80.5289,6.88672
1103316,80.5562,6.88672
1103317,80.5834,6.88672
1103318,80.6106,6.88672
1103319,80.6379,6.88672
1103320,80.6651,6.88672
1103321,80.6923,6.88672
1103322,80.7195,6.88672
1103323,80.7468,6.88672
1103324,80.774,6.88672
1103325,79.8482,6.91376
1103326,79.8754,6.91376
1103327,79.9027,6.91376
1103328,79.9299,6.91376
1103329,79.9571,6.91376
1103330,79.9844,6.91376
1103331,80.0116,6.91376
1103332,80.0388,6.91376
1103333,80.066,6.91376
1103334,80.0933,6.91376
1103335,80.1205,6.91376
1103336,80.1477,6.91376
1103337,80.175,6.91376
1103338,80.2022,6.91376
1103339,80.2294,6.91376
1103340,80.2566,6.91376
1103341,80.2839,6.91376
1103342,80.3111,6.91376
1103343,80.3383,6.91376
1103344,80.3656,6.91376
1103345,80.3928,6.91376
1103346,80.42,6.91376
1103347,80.4473,6.91376
1103348,80.4745,6.91376
1103349,80.5017,6.91376
1103350,80.5289,6.91376
1103351,80.5562,6.91376
1103352,80.5834,6.91376
1103353,80.6106,6.91376
1103354,80.6379,6.91376
1103355,80.6651,6.91376
1103356,80.6923,6.91376
1103357,80.7195,6.91376
1103358,80.7468,6.91376
1103359,80.774,6.91376
1103360,79.8482,6.94079
1103361,79.8754,6.94079
1103362,79.9027,6.94079
1103363,79.9299,6.94079
1103364,79.9571,6.94079
1103365,79.9844,6.94079
1103366,80.0116,6.94079
1103367,80.0388,6.94079
1103368,80.066,6.94079
1103369,80.0933,6.94079
1103370,80.1205,6.94079
1103371,80.1477,6.94079
1103372,80.175,6.94079
1103373,80.2022,6.94079
1103374,80.2294,6.94079
1103375,80.2566,6.94079
1103376,80.2839,6.94079
1103377,80.3111,6.94079
1103378,80.3383,6.94079
1103379,80.3656,6.94079
1103380,80.3928,6.94079
1103381,80.42,6.94079
1103382,80.4473,6.94079
1103383,80.4745,6.94079
1103384,80.5017,6.94079
1103385,80.5289,6.94079
1103386,80.5562,6.94079
1103387,80.5834,6.94079
1103388,80.6106,6.94079
1103389,80.6379,6.94079
1103390,80.6651,6.94079
1103391,80.6923,6.94079
1103392,80.7195,6.94079
1103393,80.7468,6.94079
1103394,80.774,6.94079
1103395,79.8482,6.96781
1103396,79.8754,6.96781
1103397,79.9027,6.96781
1103398,79.9299,6.96781
1103399,79.9571,6.96781
1103400,79.9844,6.96781
1103401,80.0116,6.96781
1103402,80.0388,6.96781
1103403,80.066,6.96781
