longitude,latitude,value
79.793747,7.238014,0.000
79.793747,7.265030,0.000
79.793747,7.292038,0.000
79.793747,7.319054,0.000
79.793747,7.346046,0.000
79.793747,7.373055,0.000
79.820976,6.616318,0.000
79.820976,6.643364,0.000
79.820976,6.670418,0.000
79.820976,6.697456,0.000
79.820976,6.724495,0.000
79.820976,6.751541,0.000
79.820976,6.778587,0.000
79.820976,6.805618,0.000
79.820976,6.832657,0.000
79.820976,6.859688,0.000
79.820976,6.886719,0.000
79.820976,6.913757,0.000
79.820976,6.940788,0.000
79.820976,6.967812,0.008
79.820976,6.994843,0.017
79.820976,7.021873,0.006
79.820976,7.048897,0.000
79.820976,7.075912,0.000
79.820976,7.102936,0.000
79.820976,7.129959,0.000
79.820976,7.156975,0.000
79.820976,7.183998,0.000
79.820976,7.211006,0.000
79.820976,7.238014,0.000
79.820976,7.265030,0.000
79.820976,7.292038,0.000
79.820976,7.319054,0.000
79.820976,7.346046,0.000
79.820976,7.373055,0.000
79.848206,6.616318,0.000
79.848206,6.643364,0.000
79.848206,6.670418,0.000
79.848206,6.697456,0.000
79.848206,6.724495,0.000
79.848206,6.751541,0.000
79.848206,6.778587,0.000
79.848206,6.805618,0.000
79.848206,6.832657,0.000
79.848206,6.859688,0.000
79.848206,6.886719,0.000
79.848206,6.913757,0.000
79.848206,6.940788,0.000
79.848206,6.967812,0.031
79.848206,6.994843,0.253
79.848206,7.021873,0.217
79.848206,7.048897,0.039
79.848206,7.075912,0.001
79.848206,7.102936,0.000
79.848206,7.129959,0.000
79.848206,7.156975,0.000
79.848206,7.183998,0.000
79.848206,7.211006,0.000
79.848206,7.238014,0.000
79.848206,7.265030,0.000
79.848206,7.292038,0.000
79.848206,7.319054,0.000
79.848206,7.346046,0.000
79.848206,7.373055,0.000
79.875435,6.616318,0.002
79.875435,6.643364,0.003
79.875435,6.670418,0.001
79.875435,6.697456,0.000
79.875435,6.724495,0.000
79.875435,6.751541,0.000
79.875435,6.778587,0.000
79.875435,6.805618,0.000
79.875435,6.832657,0.000
79.875435,6.859688,0.000
79.875435,6.886719,0.000
79.875435,6.913757,0.000
79.875435,6.940788,0.002
79.875435,6.967812,0.027
79.875435,6.994843,0.176
79.875435,7.021873,0.503
79.875435,7.048897,0.256
79.875435,7.075912,0.019
79.875435,7.102936,0.000
79.875435,7.129959,0.000
79.875435,7.156975,0.000
79.875435,7.183998,0.000
79.875435,7.211006,0.000
79.875435,7.238014,0.000
79.875435,7.265030,0.000
79.875435,7.292038,0.001
79.875435,7.319054,0.001
79.875435,7.346046,0.000
79.875435,7.373055,0.000
79.902664,6.616318,0.001
79.902664,6.643364,0.006
79.902664,6.670418,0.005
79.902664,6.697456,0.001
79.902664,6.724495,0.000
79.902664,6.751541,0.000
79.902664,6.778587,0.000
79.902664,6.805618,0.000
79.902664,6.832657,0.000
79.902664,6.859688,0.000
79.902664,6.886719,0.000
79.902664,6.913757,0.002
79.902664,6.940788,0.042
79.902664,6.967812,0.048
79.902664,6.994843,0.048
79.902664,7.021873,0.137
79.902664,7.048897,0.096
79.902664,7.075912,0.009
79.902664,7.102936,0.000
79.902664,7.129959,0.000
79.902664,7.156975,0.000
79.902664,7.183998,0.000
79.902664,7.211006,0.000
79.902664,7.238014,0.003
79.902664,7.265030,0.000
79.902664,7.292038,0.001
79.902664,7.319054,0.002
79.902664,7.346046,0.001
79.902664,7.373055,0.000
79.929893,6.616318,0.000
79.929893,6.643364,0.002
79.929893,6.670418,0.009
79.929893,6.697456,0.003
79.929893,6.724495,0.000
79.929893,6.751541,0.000
79.929893,6.778587,0.000
79.929893,6.805618,0.000
79.929893,6.832657,0.000
79.929893,6.859688,0.000
79.929893,6.886719,0.000
79.929893,6.913757,0.002
79.929893,6.940788,0.038
79.929893,6.967812,0.095
79.929893,6.994843,0.049
79.929893,7.021873,0.009
79.929893,7.048897,0.002
79.929893,7.075912,0.003
79.929893,7.102936,0.003
79.929893,7.129959,0.001
79.929893,7.156975,0.000
79.929893,7.183998,0.000
79.929893,7.211006,0.001
79.929893,7.238014,0.000
79.929893,7.265030,0.185
79.929893,7.292038,0.640
79.929893,7.319054,0.252
79.929893,7.346046,0.014
79.929893,7.373055,0.000
79.957123,6.616318,0.000
79.957123,6.643364,0.000
79.957123,6.670418,0.001
79.957123,6.697456,0.000
79.957123,6.724495,0.000
79.957123,6.751541,0.000
79.957123,6.778587,0.000
79.957123,6.805618,0.000
79.957123,6.832657,0.000
79.957123,6.859688,0.000
79.957123,6.886719,0.000
79.957123,6.913757,0.000
79.957123,6.940788,0.006
79.957123,6.967812,0.038
79.957123,6.994843,0.024
79.957123,7.021873,0.001
79.957123,7.048897,0.001
79.957123,7.075912,0.003
79.957123,7.102936,0.006
79.957123,7.129959,0.003
79.957123,7.156975,0.000
79.957123,7.183998,0.000
79.957123,7.211006,0.001
79.957123,7.238014,0.003
79.957123,7.265030,0.204
79.957123,7.292038,2.195
79.957123,7.319054,2.516
79.957123,7.346046,0.658
79.957123,7.373055,0.039
79.984352,6.616318,0.000
79.984352,6.643364,0.000
