longitude,latitude,value
79.521461,9.070801,0.000
79.521461,9.097694,0.000
79.521461,9.124573,0.000
79.521461,9.151459,0.000
79.521461,9.178337,0.000
79.521461,9.205223,0.000
79.521461,9.232094,0.000
79.521461,9.258972,0.000
79.521461,9.285851,0.000
79.521461,9.312714,0.000
79.521461,9.339584,0.000
79.521461,9.366455,0.000
79.521461,9.393318,0.000
79.521461,9.420189,0.000
79.521461,9.447044,0.000
79.521461,9.473900,0.000
79.521461,9.500755,0.000
79.521461,9.527618,0.000
79.521461,9.554466,0.000
79.521461,9.581322,0.000
79.521461,9.608170,0.000
79.521461,9.635010,0.000
79.521461,9.661850,0.000
79.521461,9.688705,0.000
79.521461,9.715538,0.000
79.521461,9.742371,0.000
79.521461,9.769211,0.000
79.521461,9.796036,0.000
79.521461,9.822876,0.000
79.521461,9.849701,0.000
79.521461,9.876534,0.000
79.521461,9.903358,0.000
79.521461,9.930176,0.000
79.521461,9.957001,0.000
79.521461,9.983818,0.000
79.521461,10.010635,0.000
79.521461,10.037445,0.000
79.521461,10.064255,0.000
79.548691,5.722969,0.000
79.548691,5.750061,0.000
79.548691,5.777153,0.000
79.548691,5.804245,0.000
79.548691,5.831329,0.000
79.548691,5.858421,0.000
79.548691,5.885506,0.000
79.548691,5.912590,0.000
79.548691,5.939682,0.000
79.548691,5.966759,0.000
79.548691,5.993843,0.000
79.548691,6.020920,0.000
79.548691,6.047997,0.000
79.548691,6.075073,0.000
79.548691,6.102150,0.000
79.548691,6.129227,0.000
79.548691,6.156296,0.000
79.548691,6.183365,0.000
79.548691,6.210442,0.000
79.548691,6.237511,0.000
79.548691,6.264572,0.000
79.548691,6.291641,0.000
79.548691,6.318710,0.000
79.548691,6.345772,0.000
79.548691,6.372833,0.000
79.548691,6.399895,0.000
79.548691,6.426949,0.000
79.548691,6.454010,0.000
79.548691,6.481064,0.000
79.548691,6.508125,0.000
79.548691,6.535172,0.002
79.548691,6.562225,0.004
79.548691,6.589272,0.004
79.548691,6.616318,0.001
79.548691,6.643364,0.000
79.548691,6.670418,0.000
79.548691,6.697456,0.000
79.548691,6.724495,0.000
79.548691,6.751541,0.000
79.548691,6.778587,0.000
79.548691,6.805618,0.000
79.548691,6.832657,0.000
79.548691,6.859688,0.000
79.548691,6.886719,0.000
79.548691,6.913757,0.000
79.548691,6.940788,0.000
79.548691,6.967812,0.000
79.548691,6.994843,0.000
79.548691,7.021873,0.000
79.548691,7.048897,0.000
79.548691,7.075912,0.000
79.548691,7.102936,0.000
79.548691,7.129959,0.000
79.548691,7.156975,0.000
79.548691,7.183998,0.000
79.548691,7.211006,0.000
79.548691,7.238014,0.000
79.548691,7.265030,0.000
79.548691,7.292038,0.000
79.548691,7.319054,0.000
79.548691,7.346046,0.000
79.548691,7.373055,0.000
79.548691,7.400063,0.000
79.548691,7.427063,0.000
79.548691,7.454071,0.000
79.548691,7.481064,0.000
79.548691,7.508057,0.000
79.548691,7.535057,0.000
79.548691,7.562050,0.000
79.548691,7.589035,0.000
79.548691,7.616028,0.000
79.548691,7.643021,0.000
79.548691,7.670006,0.000
79.548691,7.696991,0.000
79.548691,7.723969,0.000
79.548691,7.750954,0.000
79.548691,7.777931,0.000
79.548691,7.804909,0.000
79.548691,7.831886,0.000
79.548691,7.858864,0.000
79.548691,7.885834,0.000
79.548691,7.912804,0.000
79.548691,7.939774,0.000
79.548691,7.966743,0.000
79.548691,7.993706,0.000
79.548691,8.020668,0.000
79.548691,8.047630,0.000
