0           41550
H             38.167        199.0
H             38.25         197.0
H             38.333        194.0
H             38.417        193.0
H             38.5          192.0
H             38.583        192.0
H             38.667        190.0
H             38.75         187.0
H             38.833        186.0
H             38.917        186.0
H             39.0          186.0
H             39.083        184.0
H             39.167        184.0
H             39.25         182.0
H             39.333        181.0
H             39.417        179.0
H             39.5          179.0
H             39.583        178.0
H             39.667        178.0
H             39.75         177.0
H             39.833        177.0
H             39.917        174.0
H             40.0          172.0
H             40.083        173.0
H             40.167        172.0
H             40.25         170.0
H             40.333        167.0
H             40.417        169.0
H             40.5          167.0
H             40.583        166.0
H             40.667        166.0
H             40.75         166.0
H             40.833        165.0
H             40.917        165.0
H             41.0          162.0
H             41.083        163.0
H             41.167        163.0
H             41.25         160.0
H             41.333        160.0
H             41.417        160.0
H             41.5          160.0
H             41.583        160.0
H             41.667        160.0
H             41.75         160.0
H             41.833        160.0
H             41.917        155.0
H             42.0          155.0
H             42.083        155.0
H             42.167        154.0
H             42.25         152.0
H             42.333        153.0
H             42.417        154.0
H             42.5          152.0
H             42.583        152.0
H             42.667        149.0
H             42.75         149.0
H             42.833        150.0
H             42.917        151.0
H             43.0          149.0
H             43.083        149.0
H             43.167        147.0
H             43.25         146.0
H             43.333        146.0
H             43.417        145.0
H             43.5          146.0
H             43.583        145.0
H             43.667        145.0
H             43.75         144.0
H             43.833        144.0
H             43.917        144.0
H             44.0          144.0
H             44.083        144.0
H             44.167        143.0
H             44.25         142.0
H             44.333        141.0
H             44.417        142.0
H             44.5          141.0
H             44.583        141.0
H             44.667        139.0
H             44.75         141.0
H             44.833        139.0
H             44.917        138.0
H             45.0          138.0
H             45.083        138.0
H             45.167        138.0
H             45.25         136.0
H             45.333        137.0
H             45.417        137.0
H             45.5          133.0
H             45.583        135.0
H             45.667        136.0
H             45.75         134.0
H             45.833        134.0
H             45.917        132.0
H             46.0          133.0
H             46.083        133.0
H             46.167        131.0
H             46.25         133.0
H             46.333        131.0
H             46.417        132.0
H             46.5          129.0
H             46.583        129.0
H             46.667        130.0
H             46.75         129.0
H             46.833        129.0
H             46.917        129.0
H             47.0          128.0
H             47.083        126.0
H             47.167        127.0
H             47.25         126.0
H             47.333        126.0
H             47.417        126.0
H             47.5          123.0
H             47.583        123.0
H             47.667        123.0
H             47.75         123.0
H             47.833        123.0
H             47.917        122.0
H             48.0          121.0
H             48.083        122.0
H             48.167        120.0
H             48.25         121.0
H             48.333        119.0
H             48.417        119.0
